Year,GDP (US$),GDP per Capita (US$),Inflation (%),Oil Rents (% of GDP),Population
1970,5377333333.33333,1509.43961165521,0.177777777777742,25.438880689077,3562470.0
1971,7184806909.28939,1929.30910330483,4.47499999975002,29.6100837592392,3724031.0
1972,9664267086.60323,2474.38683208975,4.33117970783498,36.3557374019613,3905722.0
1973,14947435499.323,3640.08361192413,16.5137614681954,43.1880069488909,4106344.0
1974,45412957746.4789,10503.4280777085,21.437007873664,67.4836347877409,4323632.0
1975,46773208642.6814,10265.6414406471,34.5761063381485,54.3017782360594,4556287.0
1976,64005665722.3796,13312.5119926546,31.5586605641125,52.9958854989597,4807933.0
1977,74188986586.0629,14595.3739933329,11.3990111699532,51.8167556317189,5083048.0
1978,80266516686.5614,14914.1542686138,-1.58360185022084,44.7691658421512,5381902.0
1979,111858444786.224,19611.565126033,1.08156690288337,87.0852388864372,5703698.0
1980,164539660725.118,27205.6452285141,4.16926655363288,70.2905296586652,6047997.0
1981,184291360138.69,28703.35585508,2.79898218829486,55.6440431663442,6420551.0
1982,153240313858.323,22454.4843169614,1.02103960396037,36.8350298892649,6824486.0
1983,129171635311.143,17809.5527471054,0.191424196019057,34.697295601868,7252941.0
1984,119624858115.778,15541.1312184609,-1.55903706534203,33.6838087918767,7697307.0
1985,103897846493.65,12745.41992535,-3.0587687291366,27.6445211447861,8151779.0
1986,86961922765.3254,10078.2896080512,-3.20333146472298,23.1470283478854,8628639.0
1987,85695861148.1976,9385.98469519899,-1.54711673699021,27.2523746977218,9130194.0
1988,88256074766.3551,9165.49615323397,0.907563025210525,26.19177456012,9629165.0
1989,95344459279.0387,9413.58119352769,1.03264490339738,34.170454056182,10128394.0
1990,117630173564.753,11054.7495049666,2.07715133531158,46.4263034955234,10640691.0
1991,132223230974.633,11847.1699534218,4.86111111111137,29.9055063618569,11160744.0
1992,137087850467.29,11730.2687665244,-0.0770060064690867,30.7693919537356,11686676.0
1993,132967957276.368,10884.8607880777,1.05579531442695,29.6876073953684,12215862.0
1994,135174899866.489,10601.9196697805,0.564325478533139,26.5482079082086,12750040.0
1995,143343124165.554,10786.4008952769,4.86843103056028,28.1270341731817,13289245.0
1996,158662483311.081,11471.5045960191,1.22206762037309,33.4650950203584,13831009.0
1997,165963684913.218,11545.3455998551,0.0571499790291167,29.2775398263987,14374943.0
1998,146775466666.667,9836.05729768574,-0.371270350126536,21.2667758956326,14922185.0
1999,161717066666.667,10452.1899400479,-1.33375175319074,27.124767270241,15472075.0
2000,189514933333.333,11714.5623675159,-1.12500055218227,41.6691708446825,16177722.0
2001,184137600000.0,10805.311325122,-1.12094700105412,33.3526627413963,17041397.0
2002,189605866666.667,10586.0543471363,0.247189309008562,31.342447837027,17910910.0
2003,215807733333.333,11487.220410693,0.612194122665997,37.0345220176731,18786767.0
2004,258742133333.333,13154.4978989446,0.515509265673335,42.6409301097693,19669480.0
2005,328459608764.111,15975.7473782258,0.479229463955298,48.8606315090549,20559890.0
2006,376900133511.348,17563.6145370639,2.20902350206394,49.6700972841917,21459144.0
2007,415964509673.115,18596.1502627898,4.16782716547869,47.4394429695294,22368313.0
2008,519796800000.0,22320.4888964331,9.87024418404627,54.085800995618,23287877.0
2009,429097866666.667,17718.3911648365,5.05722336873033,34.6315417084598,24217654.0
2010,528207466666.667,22028.3901426586,5.33941623014106,37.9011314342465,23978487.0
2011,680660800000.0,27126.7498747702,5.82621886161561,49.1612188808623,25091867.0
2012,751921333333.333,28733.4375513452,2.86626976609007,47.4093852263553,26168861.0
2013,769755733333.333,27865.465604962,3.52995515752939,44.4564985480281,27624004.0
2014,787153066666.667,27805.4850319422,2.23916590559671,40.3219689900701,28309273.0
2015,693414400000.0,23256.1549553531,1.2046938850457,23.9567993223384,29816382.0
2016,689279466666.667,22267.7217050387,2.06740778344408,20.0051771356735,30954198.0
2017,741266133333.333,23929.2907135982,-0.836410331520586,23.6170719123709,30977355.0
2018,886564800000.0,29360.0658968566,2.45719835917883,28.0842811588989,30196281.0
2019,888890133333.333,29566.7933827436,-2.09334900966552,24.3295780055005,30063799.0
2020,767951200000.0,24338.8307301067,3.44546706433569,15.9789107766923,31552510.0
2021,982661066666.667,31920.7653655643,3.06328988941552,23.6862940574499,30784383.0
